Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42198239,20/02/2025,Quỹ căn chuyển nhượng từ 1-2-3-4 phòng | Sẵn sổ đỏ cập nhật liên tục tại Green Diamond 93 Láng Hạ,"9,4 tỷ",86 m²,"109,3 tr/m²",3,N/A,·,"21.0161961065944, 105.815622463366"
40394259,20/02/2025,Quỹ chuyển nhượng phong phú nhất thị trường từ 1PN - 2PN - 3PN - 4PN - Sổ đỏ trao tay. 0899 822 ***,Giá thỏa thuận,86 m²,N/A,2,2,·,"21.016826629638672, 105.81522369384766"
41997992,17/02/2025,Tôi cần chuyển nhượng căn hộ 2 ngủ và 3 ngủ cơ bản tại chung cư Green Diamond 93 Láng Hạ,"10,7 tỷ",90 m²,"118,89 tr/m²",2,N/A,·,"21.0169759575237, 105.815210643531"
41968618,10/02/2025,Chính chủ uỷ quyền nhượng căn góc 3 ngủ view hồ tầng cao nguyên bản dự án Green Diamond 93 Láng Hạ,"16,5 tỷ","136,33 m²","121,03 tr/m²",3,N/A,"Láng Hạ, Đống Đa","21.0161961065944, 105.815622463366"
42247299,23/02/2025,"HOT Tư vấn chuyên sâu The Ninety ComPlex 90 Đường Láng, nhiều lựa chọn Quỹ căn đẹp & độc quyền!","4,3 tỷ",68 m²,"63,24 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.004750464164662, 105.81870795689764"
41755131,23/02/2025,Chính chủ bán CH1103 Hacisco 107 Nguyễn Chí Thanh 105m2 có 3PN - 2WC giá 7.5 tỷ,"7,5 tỷ",105 m²,"71,43 tr/m²",3,2,"Láng Hạ, Đống Đa","21.0206790205261, 105.80829168295"
42244199,23/02/2025,"Gấp! Bán siêu phẩm nhà tập thể mới đẹp ngõ Thổ Quan, diện tích 110m2, sổ to, giá 4,625 tỷ","4,63 tỷ",110 m²,"42,04 tr/m²",3,2,"Hàng Bột, Đống Đa","21.0229969074706, 105.832333709902"
42187905,22/02/2025,"Suất ưu đãi căn 2 ngủ giá 3,66 tỷ full NT rẻ nhất The Ninety Complex, cam kết thuê 20tr/ tháng","3,6 tỷ","45,15 m²","79,73 tr/m²",2,N/A,"Thịnh Quang, Đống Đa","21.0037261607429, 105.818075773535"
42210073,22/02/2025,"Căn hộ 2PN 2WC, 63m2, mới tinh, view thành phố, Đống Đa, HTLS 50%, giá chỉ 4,5 tỷ","4,5 tỷ",63 m²,"71,43 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.003802275769978, 105.81849180932348"
42238182,22/02/2025,BÁN CH THE NINETY COMPLEX 2N2VS - FULL NỘI THẤT - CAM KẾT CHO THUÊ 20TR/THÁNG,"4,38 tỷ",69 m²,"63,48 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.00408913654337, 105.81874093305164"
42230691,21/02/2025,Chỉnh chủ mình nhượng căn hộ 810 - 2PN 70m2 tòa nhà The Gloria By Silk Path,"9,5 tỷ",70 m²,"135,71 tr/m²",2,2,"Láng Hạ, Đống Đa","21.01575789385162, 105.80927891330589"
42229184,21/02/2025,Hiếm! Tập thể Phương Mai - 2.68 tỷ - DT 62m2 - 2PN - 1WC khép kín - hai mặt thoáng - full nội thất,"2,68 tỷ",62 m²,"43,23 tr/m²",2,1,"Phương Mai, Đống Đa","21.0010953461565, 105.839031597546"
42203744,19/02/2025,"Bán căn hộ tập thể Trung Tự, gần hồ - nhà mới ô tô đỗ cửa 1 bước ra phố, 60,5 m2, giá 3,4 tỷ","3,4 tỷ","60,5 m²","56,2 tr/m²",3,N/A,"Phương Liên - Trung Tự, Đống Đa","21.0041862032453, 105.831239615206"
42149133,19/02/2025,Còn duy nhất 01 căn 63m2 2PN 2WC The Ninety 90 Láng toà căn hộ khách sạn tiêu chuẩn 5* giá tốt nhất,"4,36 tỷ","63,17 m²",69 tr/m²,2,2,"Thịnh Quang, Đống Đa","21.003772358912254, 105.8187137839445"
41864662,18/02/2025,Quỹ căn 2-3-4 Phòng Ngủ siêu hiếm The Terra 83 Hào Nam bàn giao full Nội thất cao cấp LH 0822 238 ***,"8,68 tỷ",77 m²,"112,73 tr/m²",2,2,"Ô Chợ Dừa, Đống Đa","21.024246223002162, 105.82670157228057"
41718488,18/02/2025,"Bán căn thương mại 2PN 2WC 94m2, nhà đẹp, view hồ, sổ đỏ cc. Giá 10 tỷ Green Diamond 93 Láng Hạ",10 tỷ,94 m²,"106,38 tr/m²",2,2,"Láng Hạ, Đống Đa","21.0168266296387, 105.815223693848"
